Iteration,Penalty
0,895
1000,322
2000,282
3000,282
4000,282
5000,282
6000,258
7000,258
8000,258
9000,258
10000,258
11000,258
12000,258
13000,258
14000,258
15000,258
16000,258
17000,258
18000,258
19000,258
20000,258
21000,258
22000,258
23000,258
24000,258
25000,258
26000,258
27000,258
28000,258
29000,258
30000,258
31000,258
32000,256
33000,256
34000,253
35000,244
36000,244
37000,244
38000,241
39000,223
40000,218
41000,203
42000,203
43000,185
44000,170
45000,152
46000,152
47000,143
48000,143
49000,138
50000,116
51000,98
52000,92
53000,86
54000,71
55000,57
56000,49
57000,45
58000,36
59000,29
60000,29
61000,22
62000,16
63000,15
64000,14
65000,13
66000,12
67000,12
68000,10
69000,8
70000,8
71000,6
72000,5
73000,5
74000,5
75000,5
76000,5
77000,5
78000,5
79000,5
80000,5
81000,5
82000,5
83000,5
84000,5
85000,5
86000,5
87000,5
88000,5
89000,5
90000,5
91000,5
92000,4
93000,4
94000,4
95000,4
96000,4
97000,4
98000,4
99000,4
100000,4
101000,4
102000,4
103000,4
104000,4
105000,4
106000,4
107000,4
108000,4
109000,4
110000,4
111000,4
112000,4
113000,4
114000,4
115000,4
116000,4
117000,4
118000,4
119000,4
120000,4
121000,4
122000,4
123000,4
124000,4
125000,4
126000,4
127000,4
128000,3
129000,3
130000,3
131000,2
132000,2
133000,2
134000,2
135000,2
136000,2
137000,2
138000,2
139000,2
140000,2
141000,2
142000,2
143000,2
144000,2
145000,2
146000,2
147000,2
148000,2
149000,2
150000,2
151000,2
152000,2
153000,2
154000,2
155000,2
156000,2
157000,2
158000,2
159000,2
160000,2
161000,2
162000,2
163000,2
164000,2
165000,2
166000,2
167000,2
168000,2
169000,2
170000,2
171000,2
172000,2
173000,2
174000,2
175000,2
176000,2
177000,2
178000,2
179000,2
180000,2
181000,2
182000,2
183000,2
184000,2
185000,2
186000,2
187000,2
188000,2
189000,2
190000,2
191000,2
192000,2
193000,2
194000,2
195000,2
196000,2
197000,2
198000,2
199000,2
200000,2
201000,2
202000,2
203000,2
204000,2
205000,2
206000,2
207000,2
208000,2
209000,2
210000,2
211000,2
212000,2
213000,2
214000,2
215000,2
216000,2
217000,2
218000,2
219000,2
220000,2
221000,2
222000,2
223000,2
224000,2
225000,2
226000,2
227000,2
228000,2
229000,2
230000,2
231000,2
232000,2
233000,2
234000,2
235000,2
236000,2
237000,2
238000,2
239000,2
240000,2
241000,2
242000,2
243000,2
244000,2
245000,2
246000,2
247000,2
248000,2
249000,2
250000,2
251000,2
252000,2
253000,2
254000,2
255000,2
256000,2
257000,2
258000,2
259000,2
260000,2
261000,1
262000,1
263000,1
264000,1
265000,1
266000,1
267000,1
268000,1
500000,0
