Iteration,Penalty
0,846
1000,343
2000,311
3000,296
4000,268
5000,268
6000,266
7000,266
8000,266
9000,257
10000,257
11000,257
12000,257
13000,257
14000,257
15000,257
16000,257
17000,257
18000,257
19000,257
20000,257
21000,257
22000,256
23000,256
24000,256
25000,256
26000,256
27000,256
28000,256
29000,256
30000,256
31000,256
32000,256
33000,256
34000,252
35000,246
36000,240
37000,240
38000,237
39000,227
40000,227
41000,219
42000,197
43000,197
44000,189
45000,171
46000,153
47000,141
48000,110
49000,110
50000,98
51000,98
52000,84
53000,68
54000,60
55000,54
56000,49
57000,49
58000,35
59000,29
60000,21
61000,20
62000,16
63000,14
64000,13
65000,10
66000,9
67000,8
68000,8
69000,7
70000,7
71000,6
72000,6
73000,6
74000,6
75000,6
76000,4
77000,4
78000,4
79000,4
80000,3
81000,3
82000,2
83000,2
84000,2
85000,2
86000,2
87000,2
88000,2
89000,2
90000,2
91000,2
92000,2
93000,2
94000,2
95000,2
96000,2
97000,2
98000,2
99000,2
100000,2
101000,2
102000,2
103000,2
104000,2
105000,2
106000,2
107000,2
108000,2
109000,2
110000,2
111000,2
112000,2
113000,2
114000,2
115000,2
116000,2
117000,2
118000,2
119000,2
120000,2
121000,2
122000,2
123000,2
124000,2
125000,2
126000,2
127000,2
128000,2
129000,2
130000,2
131000,2
132000,2
133000,1
134000,1
135000,1
136000,1
137000,1
138000,1
139000,1
140000,1
141000,1
142000,1
143000,1
144000,1
145000,1
146000,1
147000,1
148000,1
500000,0
