Iteration,Penalty
0,879
1000,337
2000,286
3000,286
4000,286
5000,286
6000,256
7000,256
8000,256
9000,256
10000,256
11000,256
12000,256
13000,256
14000,256
15000,256
16000,256
17000,256
18000,256
19000,256
20000,256
21000,256
22000,256
23000,256
24000,256
25000,252
26000,252
27000,252
28000,252
29000,252
30000,244
31000,232
32000,232
33000,232
34000,232
35000,232
36000,232
37000,232
38000,221
39000,221
40000,221
41000,206
42000,181
43000,181
44000,181
45000,181
46000,169
47000,145
48000,132
49000,125
50000,125
51000,113
52000,92
53000,79
54000,78
55000,56
56000,50
57000,38
58000,28
59000,27
60000,23
61000,18
62000,18
63000,14
64000,14
65000,12
66000,10
67000,8
68000,7
69000,7
70000,5
71000,5
72000,5
73000,5
74000,5
75000,5
76000,5
77000,5
78000,4
79000,3
80000,3
81000,3
82000,3
83000,3
84000,3
85000,3
86000,3
87000,3
88000,3
89000,3
90000,2
91000,2
92000,2
93000,2
94000,2
95000,2
96000,2
97000,2
98000,2
99000,1
100000,1
101000,1
102000,1
103000,1
104000,1
105000,1
106000,1
107000,1
108000,1
109000,1
110000,1
111000,1
112000,1
500000,0
