Iteration,Penalty
0,842
1000,286
2000,272
3000,272
4000,272
5000,272
6000,272
7000,272
8000,272
9000,272
10000,272
11000,272
12000,272
13000,271
14000,271
15000,259
16000,259
17000,259
18000,259
19000,259
20000,259
21000,259
22000,259
23000,259
24000,259
25000,259
26000,259
27000,259
28000,259
29000,259
30000,259
31000,259
32000,259
33000,249
34000,246
35000,246
36000,239
37000,239
38000,224
39000,224
40000,218
41000,209
42000,198
43000,183
44000,183
45000,160
46000,160
47000,141
48000,124
49000,111
50000,109
51000,104
52000,92
53000,92
54000,77
55000,65
56000,54
57000,50
58000,40
59000,31
60000,27
61000,21
62000,16
63000,15
64000,12
65000,11
66000,9
67000,9
68000,8
69000,7
70000,6
71000,4
72000,4
73000,4
74000,3
75000,3
76000,2
77000,1
78000,1
79000,1
80000,1
81000,1
82000,1
83000,1
84000,1
85000,1
86000,1
87000,1
88000,1
89000,1
90000,1
91000,1
92000,1
93000,1
94000,1
95000,1
96000,1
97000,1
98000,1
99000,1
100000,1
101000,1
102000,1
103000,1
104000,1
105000,1
106000,1
107000,1
108000,1
109000,1
500000,0
