Iteration,Penalty
0,934
1000,315
2000,292
3000,292
4000,292
5000,269
6000,269
7000,269
8000,269
9000,269
10000,269
11000,269
12000,269
13000,269
14000,269
15000,269
16000,265
17000,265
18000,265
19000,265
20000,265
21000,265
22000,265
23000,265
24000,265
25000,265
26000,265
27000,265
28000,265
29000,265
30000,265
31000,265
32000,259
33000,259
34000,256
35000,256
36000,252
37000,230
38000,230
39000,223
40000,211
41000,205
42000,196
43000,186
44000,185
45000,178
46000,150
47000,144
48000,124
49000,121
50000,113
51000,98
52000,81
53000,73
54000,67
55000,67
56000,43
57000,37
58000,24
59000,20
60000,19
61000,19
62000,15
63000,12
64000,12
65000,11
66000,11
67000,11
68000,11
69000,9
70000,9
71000,8
72000,6
73000,5
74000,5
75000,5
76000,5
77000,4
78000,4
79000,4
80000,4
81000,4
82000,4
83000,4
84000,4
85000,4
86000,3
87000,3
88000,3
89000,3
90000,3
91000,3
92000,3
93000,3
94000,3
95000,3
96000,3
97000,2
98000,1
99000,1
100000,1
101000,1
102000,1
103000,1
104000,1
105000,1
106000,1
107000,1
108000,1
109000,1
110000,1
111000,1
112000,1
113000,1
114000,1
115000,1
116000,1
117000,1
118000,1
119000,1
120000,1
121000,1
122000,1
123000,1
124000,1
125000,1
126000,1
127000,1
128000,1
129000,1
130000,1
131000,1
132000,1
133000,1
134000,1
135000,1
136000,1
137000,1
138000,1
139000,1
140000,1
141000,1
142000,1
143000,1
144000,1
145000,1
146000,1
147000,1
148000,1
149000,1
150000,1
151000,1
152000,1
153000,1
154000,1
155000,1
156000,1
500000,0
